comicID,title,issueNumber
46687,Venom (2011) #35,35
43520,New Avengers (2013) #6,6
47492,Spider-Man 2099 (Trade Paperback),0
46639,Uncanny X-Force (2013) #5,5
48171,Age of Ultron (2013) #5 (2nd Printing Variant),5
45775,All-New X-Men Vol. 2: Here to Stay (Hardcover),0
46779,X-Men (2013) #1 (Blank Cover Variant),1
46410,Savage Wolverine (2013) #5,5
46030,Dark Avengers (2012) #190,190
46277,Marvel Noir: Spider-Man/Punisher (Trade Paperback),0
46176,Indestructible Hulk (2012) #8,8
46777,X-Men (2013) #1 (Manara Variant),1
43274,Wolverine & the X-Men (2011) #30,30
45918,Avenging Spider-Man (2011) #21,21
40432,Fury Max (2011) #12,12
46463,Superior Spider-Man Vol. 1: My Own Worst Enemy (Trade Paperback),0
48187,X-Men (2013) #1 (Limited Edition Variant),1
47079,Avengers: The Complete Collection by Geoff Johns (Trade Paperback),0
45973,Captain America (2012) #7,7
48179,Uncanny X-Men (2013) #4 (2nd Printing Variant),4
42747,"MONSTERS, INC.: SCARY STORIES DIGEST (Digest)",0
36421,Iron Man (2013) #258.4,2584
54425,Star Wars: Legacy (2013) #3,3
46482,Superior Spider-Man (2013) #10,10
40730,Journey Into Mystery Featuring Sif Vol. 1: Stronger Than Monsters (Trade Paperback),0
46425,Scarlet Spider (2011) #17,17
46808,X-Men Legacy (2012) #11,11
46046,Deadpool (2012) #10,10
47461,Scarlet Spider (2012) #17 (Dell'otto Variant),17
46263,Marvel Masterworks: The Fantastic Four (Trade Paperback),0
42502,Uncanny X-Men by Kieron Gillen Vol. 4 (Trade Paperback),0
46744,Wolverine Max (Trade Paperback),0
47489,Daredevil (2011) #26 (Rivera Variant),26
47135,Ultimate Comics Wolverine (2013) #4,4
46837,Young Avengers (2013) #5 (Cheung Variant),5
46671,Uncanny X-Men (2013) #6,6
47054,Marvel Universe Ultimate Spider-Man (2012) #14,14
40656,Secret Avengers by Rick Remender Vol. 2 (Trade Paperback),0
45844,Avengers (2012) #12 (Avengers 50th Anniversary Variant),12
40501,Daredevil (2011) #26,26
43507,A+X (2012) #8,8
45762,A+X Vol. 1: = Awesome (Trade Paperback),0
46100,Fantastic Four (2012) #8,8
41234,Ff by Jonathan Hickman Vol. 4 (Trade Paperback),0
43263,Powers: Bureau  (2012) #4,4
47317,Journey Into Mystery (2011) #652,652
54150,Star Wars: Dawn Of The Jedi - Prisoner Of Bogan (2012) #5,5
46264,Marvel Masterworks: The Fantastic Four (Trade Paperback),0
47355,Fearless Defenders (2013) #4,4
47343,Uncanny Avengers (2012) #8,8
46837,Young Avengers (2013) #5 (Cheung Variant),5
45844,Avengers (2012) #12 (Avengers 50th Anniversary Variant),12
40501,Daredevil (2011) #26,26
47054,Marvel Universe Ultimate Spider-Man (2012) #14,14
40656,Secret Avengers by Rick Remender Vol. 2 (Trade Paperback),0
43507,A+X (2012) #8,8
49109,Amazing Spider-Man (1999) #700.5,7005
47559,Iron Man (2012) #10 (Movie Variant),10
46120,FF (2012) #7,7
46974,Wolverine Max (2012) #7,7
40835,New Avengers by Brian Michael Bendis Vol. 4 (Trade Paperback),0
45950,Cable and X-Force (2012) #8,8
45906,Age of Ultron (2013) #8,8
42689,Gambit (2012) #12,12
46209,Iron Man (2012) #10,10
48065,Deadpool: Classics Killustrated (2013) #3 (2nd Printing Variant),3
46269,Marvel Masterworks: The Invincible Iron Man (Hardcover),0
42665,Captain Marvel Vol. 2: Down (Trade Paperback),0
46347,New Warriors Omnibus (Hardcover),0
46765,X-Factor (2005) #256,256
47219,Incredible Hulk: Crossroads (Trade Paperback),0
47018,Age of Ultron (2013) #8 (7th Orange Variant),8
48081,Superior Spider-Man (2013) #3 (3rd Printing Variant),3
43275,Wolverine & the X-Men (2011) #29,29
42603,Wolverine & the X-Men by Jason Aaron Vol. 4 (Trade Paperback),0
47884,Amazing Spider-Man (1999) #700 (4th Printing Variant),700
47635,Avengers: The Enemy Within (2013) #1 (Manara Variant),1
54131,Star Wars: Darth Vader And The Ninth Assassin (2013) #2,2
47460,Cable and X-Force (2012) #8 (X-&#8203;Men 50th Anniversary Variant),8
40920,Wolverine: Official Index to the Marvel Universe GN-TPB (Trade Paperback),0
48064,Age of Ultron (2013) #3 (2nd Printing Variant),3
46270,Marvel Masterworks: The Invincible Iron Man (Hardcover),0
43316,Nova (2013) #4,4
46164,Indestructible Hulk Vol. 1: Agent of S.H.I.E.L.D. (Hardcover),0
46529,Thunderbolts (2012) #9,9
47019,Age of Ultron (2013) #8 (Ultron Variant),8
46548,Ultimate Comics Spider-Man (2011) #23,23
46346,New Warriors Omnibus (Hardcover),0
48080,Superior Spider-Man (2013) #1 (4th Printing Variant),1
47565,Avengers: The Enemy Within (2013) #1,1
45879,Avengers Assemble (2012) #15,15
46508,Thor: God of Thunder (2012) #8,8
41569,MARVEL UNIVERSE ULTIMATE SPIDER-MAN VOL. 3 DIGEST (Digest),0
46045,Deadpool (2012) #9,9
46073,Fearless Defenders (2013) #4 (Hans Variant),4
46852,Alpha: Big Time (2013) #4,4
45855,Avengers Arena Vol. 1: Kill or Die (Trade Paperback),0
43332,Uncanny Avengers (2012) #8,8
45900,Avengers Vs. X-Men Companion (Hardcover),0
46446,Secret Avengers (2013) #4,4
45867,Avengers Arena (2012) #9,9
46906,WOLVERINE YOUNG READERS NOVEL (Digest),0
46640,Uncanny X-Force (2013) #5 (Mcguinness Variant),5
48263,Avengers Vs. X-Men Companion (Hardcover),0
46720,Wolverine (2013) #3 (Mcguinness Variant),3
47078,Avengers: Heart of Stone (Trade Paperback),0
53945,Star Wars (2013) #5,5
40948,Ultimate Comics Spider-Man: (Issues 13-18) (Trade Paperback),0
46638,Uncanny X-Force (2013) #4 (Camuncoli Variant),4
43541,Avengers (2012) #11,11
36422,Iron Man (2013) #258.2,2582
46072,Fearless Defenders (2013) #4,4
45995,Castle: A Calm Before Storm (2012) #5,5
46637,Uncanny X-Force (2013) #4,4
42568,Spider-Men (Trade Paperback),0
47534,Uncanny Avengers (2012) #8 (Manara Wasp Variant),8
42569,Avenging Spider-Man (2011) #20,20
46447,Secret Avengers (2013) #4 (Brooks Variant),4
46539,Thunderbolts Vol. 1: No Quarter (Trade Paperback),0
48262,Avengers Vs. X-Men Companion (Hardcover),0
46567,Ultimate Comics Ultimates  (2011) #24,24
46940,Essential Defenders (Trade Paperback),0
32086,The Stand: Sixth Series (Trade Paperback),0
46719,Wolverine (2013) #3,3
45823,Astonishing X-Men (2004) #62,62
47115,Scarlet Spider (2012) #17 (Mckone Iron Man Many Armors Variant),17
46586,Ultimate Comics X-Men (2010) #26,26
47892,Age of Ultron (2013) #2 (2nd Printing Variant),2
47099,Iron Man/War Machine: Hands of the Mandarin (Trade Paperback),0
47186,Red She-Hulk (2012) #65,65
41686,Avengers: Earth's Mightiest Heroes Adventures (Digest),0
45905,Age of Ultron (2013) #7,7
47558,Iron Man (2012) #9 (Movie Variant),9
47488,Superior Spider-Man (2013) #9 (Stegman Variant),9
46764,X-Factor (2005) #255,255
46481,Superior Spider-Man (2013) #9,9
47096,Hawkeye (2012) #10 (Rivera Iron Man Many Armors Variant),10
46709,Winter Soldier (2012) #18 (Johnson Variant),18
47017,Age of Ultron (2013) #7 (Yu Variant),7
46913,Kick-Ass (Hardcover),0
47905,New Avengers (2013) #4 (2nd Printing Variant),4
46881,Thanos Rising (2013) #2,2
47647,Iron Man: The Coming of the Melter! (2013) #1,1
45937,Cable and X-Force Vol. 1: Wanted (Trade Paperback),0
47016,Age of Ultron (2013) #7 (Ultron Variant),7
46175,Indestructible Hulk (2012) #7,7
42765,Hawkeye (2012) #10,10
46208,Iron Man (2012) #9,9
47907,Superior Spider-Man (2013) #6 (2nd Printing Variant),6
47901,Hawkeye (2012) #8 (2nd Printing Variant),8
54096,Star Wars: Dark Times - Fire Carrier (2013) #4,4
43476,All-New X-Men (2012) #11,11
47119,Thanos Rising (2013) #2 (Mcguinness Variant),2
36423,Iron Man (2013) #258.1,2581
47165,Guardians of the Galaxy Infinite Comic (2013) #4,4
47893,All-New X-Men (2012) #9 (2nd Printing Variant),9
46755,Wolverine: The Best There Is - The Complete Series (Trade Paperback),0
47669,Iron Man (2013) #258.1 (Layton Variant),2581
46807,X-Men Legacy (2012) #10,10
46708,Winter Soldier (2012) #18,18
42948,Avenging Spider-Man: Threats and Menaces (Trade Paperback),0
46834,Young Avengers (2013) #4,4
46344,New Avengers (2013) #5 (Quinones Variant),5
47316,Journey Into Mystery (2011) #651,651
46119,FF (2012) #6,6
47430,Scarlet Spider (2012) #16 (Mckone Iron Man Many Armors Variant),16
45866,Avengers Arena (2012) #8,8
47053,Marvel Universe Ultimate Spider-Man (2012) #13,13
46272,Marvel Masterworks: The Mighty Thor (Trade Paperback),0
47420,Guardians of the Galaxy (2013) #2 (Movie Variant),2
46325,Morbius: The Living Vampire (2013) #4,4
43506,A+X (2012) #7,7
33987,DARK TOWER: THE GUNSLINGER Ã¢â‚¬â€ THE BATTLE OF TULL TPB (Trade Paperback),0
46835,Young Avengers (2013) #4 (Lafuente Variant),4
